,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Gravedad_Indicador_Tradicional,Clase,Edad,Sexo
25562,8,28,3,20,30,3,1,3,47.0,1
25563,8,28,3,20,30,3,1,3,48.0,1
25564,8,27,2,20,40,3,1,1,29.0,1
25565,8,27,2,20,40,3,1,1,27.0,2
25566,8,27,2,20,40,3,1,2,42.0,1
25567,8,28,3,13,25,11,1,1,23.0,1
25568,8,28,3,13,25,11,1,1,20.0,1
25569,8,28,3,13,25,11,1,1,52.0,1
25570,8,29,4,19,49,2,1,1,20.0,1
25571,8,27,2,7,30,8,1,11,60.0,2
25572,8,27,2,7,30,8,1,1,22.0,2
25573,8,26,1,6,10,13,1,2,57.0,1
25574,8,26,1,6,10,13,1,2,15.0,2
25575,8,26,1,6,10,13,1,1,39.0,1
25576,9,1,7,17,30,13,3,2,29.0,1
